,user_key,#politics,#tcot,#MAGA,#PJNET,#news,#Trump,#Merkelmussbleiben,#TrumpForPresident,#WakeUpAmerica,#NeverHillary,#IslamKills,#TCOT,#Trump2016,#ccot,#2A,#TrumpPence16,#RejectedDebateTopics,#CCOT,#BlackLivesMatter,#ThingsYouCantIgnore,#TrumpTrain,#MakeAmericaGreatAgain,#ToDoListBeforeChristmas,#pjnet,#SurvivalGuideToThanksgiving,#AlternativeAcronymInterpretations,#p2,#…,#BetterAlternativeToDebates,#ChristmasAftermath,#RealLifeMagicSpells,#Hillary,#ThingsMoreTrustedThanHillary,#GiftIdeasForPoliticians,#2016In4Words,#HillaryClinton,#RuinADinnerInOnePhrase,#MakeMeHateYouInOnePhrase,#IdRunForPresidentIf,#IHaveARightToKnow,#ItsRiskyTo,#OscarHasNoColor,#Prayers4California,#CruzCrew,#Obama,#CrookedHillary,#ISIS,#ThingsNotTaughtAtSchool,#SecondhandGifts,#SometimesItsOkTo,#TrumpsFavoriteHeadline,#ElectionDay,#StopIslam,#Brussels,#IGetDepressedWhen,#ValentinesDayIn3Words,#ImTooOldFor,#ICelebrateTrumpWith,#My2017Resolution,#2016ElectionIn3Words,#Merkel,#POTUSLastTweet,#2017SurvivalTips,#ThingsThatShouldBeCensored,#MustBeBanned,#HillaryForPrison2016,#ReasonsToProtest,#ImWithHer,#NowPlaying,#Clinton,#sports,#TheFirst100DaysToDoList,#TrumpBecause,#AmericaFirst,#teaparty,#RT,#TopVideo,#IHaveADreamThat,#debatenight,#MyFarewellWordsWouldBe,#NoCyberCensorship,#RNCinCLE,#ToFeelBetterI,#TRUMP,#NRA,#local,#maga,#Guns4NY,#ObamasWishList,#TopNews,#GOP,#NeverTrump,#world,#Election2016,#VoteTrump,#teapartynews,#DrainTheSwamp,#GOPDebate,#ThingsPeopleOnTwitterLike,#debate,#Oscars,#RedNationRising,#HowToLoseYourJob,#Benghazi,#MeanGirlsRules,#My2017BiggestHope,#gop,#ToAvoidWorkI,#DemDebate,#HillarysHealth,#NoDAPL,#iceisis,#targets,#opiceisis,#ProbableTrumpsTweets,#LostIn3Words,#FishTV,#TeaParty,#UniteBlue,#MyEmmyNominationWouldBe,#DemsInPhilly,#tlot,#DNC,#Cleveland,#ReasonsToGetDivorced,#HappyBirthdayHarryTruman,#USA,#VegasGOPDebate,#HillaryForPrison,#LNYHBT,#theteaparty,#birtherism,#DrunkBands,#DontTellAnyoneBut,#COSProject,#RenewUS,#TedCruz,#quote,#PrayForBrussels,#debates,#WhatIWouldTellA15YearOldMe,#trump,#IStartCryingWhen,#conservative,#RedneckAMovie,#POTUS,#IDontNeedACostumeBecause,#MyBedroomIn3Words,#health,#BasketOfDeplorables,#OscarsSoWhite,#WhatIWantForChristmasIn4Words,#Tcot,#DemDebateMiami,#HateToEatAndRun,#America,#TGDN,#DogSongs,#ctl,#IfIHadABodyDouble,#girlstalkselfies,#God,#RTifYouAre,#NowPlaying:,#AddABandToATVShow,#My4WordNewYearsResolution,#ThingsDoneByMistake,#sp,#1,#ThanksObama,#phosphorusdisaster,#DonaldTrump,#ILove__ButIHate__,#MakeMusicReligious,#usa,#AddAMovieRuinAMovie,#StonedComicBooks,#FakeNews,#Debate,#Listen2,#SummerAMovie,#CR4U,#AddASongRuinAMovie,#OneWordOffMovieQuotes,#ThingsInventedWhileHigh,#business,#LastMinuteGifts2016,#IfICouldntLie,#MakeTVSexy,#SextingWentWrongWhen,#MyBestFriendIsntAllowed,#SingleSurvivalTips,#IHatePokemonGoBecause,#tgdn,#breaking,#US,#VulnerabilityIn5Words,#SexySports,#EasterIn4Words,#WomensMarch,#music,#WorstPainEverIn3Words,#MakeTVShowsAustralian,#Debates2016,#LiberalLogic,#ChildrenThinkThat,#MAGA…,#trump2016,#PresidentTrump,#LockHerUp,#FeelTheBern,#PodestaEmails,#UnlikelyThingsHeardAtWalmart,#SometimesTwitterMakesMe,#Chicago,#MakeTVShowsCanadian,#DickFlicks,#hiphop,#IslamIsTheProblem,#HillarysEmails,#AddCartoonsToHistory,#realdonaldtrump,#MSM,#TheTroubleWithAddiction,#ImNotWithHer,#soundcloud,#HonorForTheBrave,#rap,#BuildTheWall,#RAPStationRadio,#IReallyLikeYouBut,#1A,#TrumpsArmy,#CancelPlansIn5Words,#BlackTwitter,#MakeDCListen,#WeThePeople,#DNCleak,#FBI,#america,#SupremeSacrificeDay,#IfMyFriendsSawMeNow,#3wordsbetterthanIloveyou,#MillennialSportsTeams,#ChristmasAPopSong,#Florida,#AthleticsTVShows,#Israel,#MyOlympicSportWouldBe,#ClintonFoundation,#ShouldBeAllowedAtWork,#ProblematicKidsShows,#BlueLivesMatter,#SuperOldHeroes,#GardenCityShooting,#CNN,#OhHillNo,#Wikileaks,#HappyBirthdayGeorgeWashington,#love,#ImVotingBecause,#ItsMuchBetterTo,#draintheswamp,#StrongerTogether,#Foke,#NYC,#ThingsToKnowAboutTwitter,#VoterFraud,#OtherThingsToDoIn6Seconds,#BLM,#PodernFamily,#ElectionNight,#OneWordOffBooks,#TrumpPence2016,#VoteTrump2016,#Chelsea,#IsQuiteAChallenge,#2ndAmendmentDay,#RenameMillionWomenMarch,#veterans,#WhenImSotallyTober,#HappyBirthdayHarryTruman!,#DemExit,#JapanAMovie,#Islam,#blacklivesmatter,#MakeABookWarm,#SecondHandGifts,#SanBernardino,#DefundPP,#Hillary4Prison,#ReasonsIAintInARelationship,#ElectionFinalThoughts,#CowTV,#Hannity,#TweetsFrom10YearsAgo,#Texas,#ThingsThatDisturbMe,#News,#mondaymotivation,#Syria,#RulesForEverydayLiving,#Hillary2016,#NeverForget,#IKnewWeWereDoomed,#prayforbrussels,#IAmThankfulFor,#quotes,#IWillAlwaysLove,#ICantBeUrFriendBecause,#Russia,#DebateNight,#GameShowHostPickUpLines,#FriendshipIn5Words,#Breaking,#StayWoke,#ItsUnacceptableTo,#2a,#ImAlwaysOkWith,#SomedayIdLikeToSee,#RobotHipHop,#MAGA3X,#USFA,#SickHillary,#NBCNewsForum,#Blacklivesmatter,#ChelseaNYC,#AllMaleReboots,#2016Election,#Jesus,#SignsYouAreAmerican,#T…,#ReleaseClintonsMedicalRecords,#DemConvention,#OneLetterOffSports,#Obamacare,#SCPrimary,#SoundCloud,#Brexit,#ILikePeopleWho,#JunkScience,#JugendmitMerkel,#CaliforniaMovies,#libertarian,#artyoucanhear,#TrumpArmy,#neverhillary,#military,#DumberBroadway,#TeamTrump,#TwitterCanBeABit,#Iran,#GOPDebateSC,#MuslimBan,#CongressIn5Words,#trumptrain,#Periscope:,#ThingsHillaryGoogles,#nra,#CDU,#guncontrol,#TrumpEnMexico,#iHQ,#AndThenIShouldHaveSaid,#IAmOnFire,#InsultingMovies,#NEVERhillary,#JunkieUS,#rantfortoday,#IAMONFIRE,#Democrats,#RichMovies,#C…,#BB4SP,#nowplaying,#FridayFeeling,#FollowTheMoney,#JillNotHill,#FF,#dagr8fm,#EU,#TheGOPHasBecome,#HurricaneMatthew,#OffendEveryoneIn4Words,#HillarysBodyDouble,#ReligionOfPeace,#STOPIslam,#BanIslam,#FamousCreatures,#RetireASongOrBand,#DealBreakerIn3Words,#ConspiracySongs,#ClintonScandals,#DNCinPHL,#WhyImGangsta,#WhatILearnedToday,#MakeSexAwkwardIn5Words,#MentalIllnessIcebreakers,#obama,#IShouldGetAMedalFor,#TEAPARTY,#P…,#MyNewCatchPhraseIs,#ThursdayThoughts,#TrumpPence,#WearHoodieForTrayvon,#VPDebate,#np,#showbiz,#SCOTUS,#MySaturdayNightIn4Words,#ImAlwaysForgetting,#fakenews,#HRC,#TrusTED,#WriteAPanel,#WCW,#TeaPartyNews,#HRCOriginalBirther,#InHonorOf,#Blacks4Trump,#IfTheMediaRiggedTheElection,#SundayMorning,#Military,#SongsHannibalWouldSing,#demndebate,#PJnet,#WeedTV,#IfHillaryBecomesPresident,#WednesdayWisdom,#TheResistance,#AndThatsHowIWentViral,#BernieSanders,#TexasJihad,#NotMyPresident
0,4mysquad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6druz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,_billy_moyer_,4,30,0,16,2,3,0,0,9,0,0,10,5,15,11,0,0,18,0,0,2,2,0,7,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,2,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,5,0,0,0,0,0,0,0,0,7,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,1,3,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,_nickluna_,4,80,41,89,14,35,0,30,36,15,41,29,14,27,17,7,0,25,12,0,12,12,0,17,0,0,9,10,0,0,33,7,6,0,0,7,0,0,0,0,0,45,20,30,4,8,5,0,0,0,0,7,16,16,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1,2,0,17,3,7,13,0,0,1,0,13,1,0,4,7,1,3,17,0,0,7,4,1,4,4,2,4,2,0,3,19,14,0,6,0,0,4,0,7,1,0,0,0,0,0,0,0,5,9,0,1,7,2,0,0,8,3,0,5,3,1,0,0,0,6,5,9,1,4,1,0,0,0,1,0,2,0,0,10,2,11,0,11,5,0,3,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,3,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,2,1,0,0,0,1,0,2,0,2,4,2,3,0,0,0,0,0,0,1,0,0,1,4,0,1,0,4,0,6,0,0,0,3,0,0,6,1,0,1,0,2,0,0,0,0,0,0,5,0,3,0,0,2,0,4,2,3,3,3,1,1,0,3,0,0,3,0,1,0,0,0,2,0,1,4,0,0,7,0,0,0,3,1,0,1,0,0,0,5,4,0,0,2,0,3,0,2,0,2,1,0,0,4,1,0,4,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,8,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,3,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,2,3,0,0,0,0,0,0,0,0
4,_sashalapin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,aantiracist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,abigailssilk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,acejinev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,adamchapmanjr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,adrgreerr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
